total_error: 4.78915
x, y, z
39.7701, 10.0851, -14.9819
39.4953, 10.2131, -14.9614
39.2068, 10.3623, -14.9369
38.9233, 10.5364, -14.9094
38.6515, 10.7565, -14.8798
38.3883, 11.0295, -14.8481
38.1329, 11.3545, -14.814
37.8839, 11.7281, -14.777
37.6415, 12.1457, -14.7369
37.4068, 12.6044, -14.6934
37.1816, 13.1025, -14.6468
36.9677, 13.6397, -14.5972
36.7661, 14.2161, -14.5448
36.5779, 14.8317, -14.4896
36.4037, 15.4862, -14.4317
36.2436, 16.1792, -14.3712
36.0976, 16.9097, -14.3081
35.9659, 17.6771, -14.2428
35.8482, 18.4811, -14.1751
35.744, 19.3207, -14.1053
35.6527, 20.1952, -14.0335
35.5739, 21.1041, -13.9599
35.5072, 22.0465, -13.8845
35.4526, 23.0218, -13.8075
35.4098, 24.0288, -13.7291
35.3785, 25.0671, -13.6493
35.3586, 26.1357, -13.5684
35.3497, 27.2337, -13.4864
35.3518, 28.3602, -13.4034
35.3646, 29.5141, -13.3197
35.3881, 30.6944, -13.2352
35.4223, 31.9003, -13.15
35.467, 33.1308, -13.0643
35.5222, 34.3849, -12.978
35.5877, 35.6615, -12.8914
35.6633, 36.9597, -12.8045
35.7488, 38.2781, -12.7174
35.8438, 39.6157, -12.6302
35.9481, 40.9711, -12.543
36.0613, 42.3427, -12.4557
36.183, 43.729, -12.3686
36.313, 45.1285, -12.2818
36.4511, 46.5397, -12.1952
36.5969, 47.961, -12.109
36.7501, 49.3907, -12.0234
36.9106, 50.8274, -11.9383
37.0778, 52.2697, -11.8538
37.2517, 53.7161, -11.7701
37.4318, 55.1652, -11.6873
37.618, 56.6154, -11.6053
37.81, 58.0651, -11.5243
38.0076, 59.5128, -11.4444
38.2106, 60.957, -11.3656
38.4188, 62.3962, -11.2881
38.6319, 63.8289, -11.2119
38.8499, 65.2537, -11.137
39.0725, 66.669, -11.0636
39.2997, 68.0734, -10.9918
39.5311, 69.4655, -10.9216
39.7666, 70.8438, -10.8532
40.006, 72.207, -10.7865
40.249, 73.5536, -10.7217
40.4953, 74.8824, -10.6589
40.7446, 76.1921, -10.5981
40.9965, 77.4812, -10.5395
41.2508, 78.7486, -10.4829
41.5071, 79.9929, -10.4286
41.7652, 81.2128, -10.3766
42.025, 82.4072, -10.3268
42.2861, 83.575, -10.2794
42.5484, 84.7149, -10.2343
42.8117, 85.8256, -10.1916
43.0758, 86.906, -10.1514
43.3405, 87.9546, -10.1135
43.6055, 88.9701, -10.0782
43.8709, 89.951, -10.0455
44.1364, 90.896, -10.0153
44.4022, 91.8037, -9.9877
44.668, 92.673, -9.96278
44.9335, 93.5028, -9.94058
45.1985, 94.2921, -9.92119
45.4625, 95.04, -9.90468
45.7251, 95.7457, -9.89108
45.9857, 96.408, -9.88047
46.2441, 97.0263, -9.87283
46.4998, 97.5995, -9.86817
46.7525, 98.1266, -9.86646
47.0023, 98.6061, -9.86766
47.249, 99.0362, -9.87163
47.4923, 99.4149, -9.8782
47.7322, 99.7404, -9.88711
47.9688, 100.01, -9.89804
48.2025, 100.222, -9.9105
48.4325, 100.377, -9.92401
48.6567, 100.474, -9.93815
48.8746, 100.517, -9.95226
49.0887, 100.506, -9.96492
49.3026, 100.445, -9.97517
49.5174, 100.329, -9.98413
49.7438, 100.146, -9.99253
